Token_ID,Symbol,Series,Price_Band,Company_Name,ISIN,High_Price_Rs
29678,BAJAJINDEF,EQ,20,INDEF MANUFACTURING LTD,INE0O9T01021,249.58
20531,BAJEL,EQ,20,BAJEL PROJECTS LIMITED,INE0KQN01018,218.5
25203,BALAJEE,EQ,20,SHREE TIRUPATI BALAJEE L,INE0S2G01011,50.9
14501,BALAMINES,EQ,20,BALAJI AMINES LIMITED,INE050E01027,1452.7
11309,BALAXI,EQ,20,BALAXI PHARMA LTD,INE618N01022,57.24
10181,BALKRISHNA,EQ,20,BALKRISHNA PAPER MILLS L,INE875R01011,22.0
338,BALMLAWRIE,EQ,20,BALMER LAWRIE & CO LTD,INE164A01016,213.0
341,BALRAMCHIN,EQ,20,BALRAMPUR CHINI MILLS LTD,INE119A01028,596.0
347,BANARBEADS,EQ,20,BANARAS BEADS LTD,INE655B01011,128.0
350,BANARISUG,EQ,20,BANNARI AMMAN SUGARS LTD,INE459A01010,4201.2
11439,BANKBEES,EQ,20,NIP IND ETF BANK BEES,INF204KB15I9,573.98
21986,BANKBETF,EQ,20,BFAM - BANKBETF,INF0QA701714,56.5
17419,BANKETF,EQ,20,MIRAEAMC - BANKETF,INF769K01KR3,567.97
13644,BANKETFADD,EQ,20,DSPAMC - DSPBANKETF,INF740KA1RX3,56.92
11037,BANKIETF,EQ,20,ICICIPRAMC - IPRU5008,INF109KC15I8,56.93
5851,BANKNIFTY1,EQ,20,KOTAKMAMC-KOTAKBKETF,INF174K01F59,575.0
25725,BANKPSU,EQ,20,MIRAEAMC - BANKPSU,INF769K01LZ4,71.88
14511,BANSWRAS,EQ,20,BANSWARA SYNTEX LIMITED,INE629D01020,150.99
3127,BARBEQUE,EQ,20,BARBEQUE NATION HOSP. LTD,INE382M01027,314.25
368,BASF,EQ,20,BASF INDIA LTD,INE373A01013,5257.5
12034,BASML,EQ,20,BANNARI AM SPIN MILL LTD.,INE186H01022,34.23
371,BATAINDIA,EQ,20,BATA INDIA LTD,INE176A01028,1272.9
17927,BAYERCROP,EQ,20,BAYER CROPSCIENCE LTD,INE462A01022,5682.0
7196,BBETF0432,EQ,20,EDELAMC - BBETF0432,INF754K01OB1,1289.36
13761,BBL,EQ,20,BHARAT BIJLEE LTD,INE464A01036,2994.9
24117,BBNPNBETF,EQ,20,BARODABNP - BBNPNBETF,INF251K01TL6,56.12
20547,BBNPPGOLD,EQ,20,BARODABNP - BBNPPGOLD,INF251K01SU9,94.75
380,BBTC,EQ,20,BOMBAY BURMAH TRADING COR,INE050A01025,2070.0
12153,BBTCL,EQ,20,B&B TRIPLEWALL CONT LTD,INE01EE01011,159.74
2513,BCLIND,EQ,20,BCL INDUSTRIES LIMITED,INE412G01024,42.45
7780,BCONCEPTS,EQ,20,BRAND CONCEPTS LIMITED,INE977Y01011,344.0
17933,BEARDSELL,EQ,20,BEARDSELL LIMITED,INE520H01022,30.45
1628,BECTORFOOD,EQ,20,MRS BECTORS FOOD SPE LTD,INE495P01012,1528.0
